model,year,mileage,fuel,price
47,1998,65000,3,9900
47,2002,141350,3,6799
47,2002,128000,3,8850
47,2008,80784,3,13500
47,2007,153000,3,9500
47,2004,240000,1,4900
47,1999,186318,3,3200
47,2003,379115,1,4500
47,2000,272920,1,2490
47,2001,214510,3,11500
47,2004,240000,1,5900
47,2004,134000,3,8000
47,2001,220000,3,8900
47,2007,124100,1,10900
47,2002,150000,3,7990
47,2002,189777,3,8700
47,2004,200000,3,5900
47,2000,244758,3,2300
47,2002,230000,1,4000
47,2003,273000,1,7900
47,2001,180000,3,9900
47,1999,198500,3,6500
47,2002,202046,5,9000
47,2003,198000,3,7900
47,2001,199700,3,6400
47,2000,126135,3,10500
47,2001,303000,3,6700
47,1998,300000,5,3000
47,2000,184369,3,6900
47,2003,166500,3,5900
47,2004,114000,3,7100
47,2003,314000,1,2999
47,2002,227000,3,4300
47,2003,189000,3,6400
47,2006,136000,3,11500
47,2000,156300,3,5999
47,2000,246500,3,3300
47,2005,298000,1,3900
47,2000,260000,5,3900
47,1998,102000,3,6900
47,2009,252370,3,9990
47,1998,149000,3,4200
47,2002,281000,3,2490
47,2007,127496,3,16900
47,2008,194000,1,9000
47,2006,150000,3,14900
47,2003,260000,3,4999
47,2004,295000,3,3600
47,2003,220000,1,3500
47,2003,209000,3,20999
47,1999,187000,5,4999
47,2007,149000,1,13500
47,2006,179000,3,11500
47,2006,155000,3,15500
47,2005,139400,3,12000
47,2004,180000,3,10900
47,2005,179000,3,15900
47,2008,175000,3,16400
47,2005,216200,3,9300
47,2005,201705,1,10500
47,2008,191000,3,13900
47,2008,169900,3,14900
47,2004,198000,3,11500
47,2006,198000,3,13300
47,2013,109953,3,38900
47,2008,114528,3,18500
47,2010,138620,3,24999
47,2006,315000,5,7500
47,2008,180300,1,13600
47,2005,320360,1,7800
47,2005,258952,1,12900
47,2009,198900,3,15900
47,2004,229748,3,8900
47,2005,255000,3,10499
47,2012,180000,3,28900
47,2006,201000,5,12300
47,2010,185970,3,14900
47,2010,121000,3,17290
47,2005,144000,3,12950
47,2008,244000,1,16400
47,2008,171000,3,16500
47,2010,178701,3,21900
47,2007,175000,3,16999
47,2009,125000,3,18200
47,2009,215000,3,14999
47,2005,206000,3,12900
47,2004,170000,3,11900
47,2008,123000,3,16900
47,2007,210319,3,13500
47,2004,170000,3,11500
47,2007,182000,3,14900
47,2008,112846,3,15900
47,2007,293966,5,11000
47,2006,198000,5,12250
47,2007,195000,1,13900
47,2006,212000,3,10700
47,2004,232000,5,8900
47,2009,193000,3,15999
47,2009,169232,3,17900
47,2005,200670,3,10900
47,2006,232000,3,11950
47,2007,288000,1,14000
47,2008,200000,1,11900
47,2011,211000,1,14700
47,2009,164000,3,19800
47,2004,341000,1,5200
47,2008,169000,1,12900
47,2005,153966,3,13600
47,2010,183000,3,21700
47,2005,169886,3,15900
47,2008,146000,3,14600
47,2004,209000,3,12900
47,2008,213000,5,14900
47,2005,237000,3,13900
47,2011,217000,3,26999
47,2006,93224,3,14500
47,2007,166000,3,16999
47,2008,122300,3,16600
47,2007,303800,1,8000
47,2009,134000,3,13500
47,2009,192000,3,15900
47,2004,250000,3,8900
47,2008,121650,3,13500
47,2005,196000,3,12500
47,2006,148926,3,28900
47,2010,217000,3,18500
47,2011,219783,3,17800
47,2006,354000,5,11000
47,2007,228000,1,12890
47,2007,208000,1,17000
47,2008,139420,3,16900
47,2009,88500,3,15999
47,2007,185000,3,14900
47,2007,147000,3,13500
47,2004,93000,3,15900
47,2009,185009,3,14900
47,2009,137300,3,16900
47,2007,168000,3,15300
47,2004,246500,1,7500
47,2008,350000,1,6800
47,2011,144134,3,16900
47,2006,190000,3,12999
47,2004,179000,3,12900
47,2004,217500,1,9900
47,2010,285600,1,10900
47,2004,196604,3,10800
47,2004,183500,3,10900
47,2005,198568,3,10900
47,2008,170000,3,15900
47,2007,285000,1,9800
47,2005,176400,3,19900
47,2009,220000,1,11990
47,2009,190000,3,13900
47,2005,257024,5,9000
47,2007,174123,3,13900
47,2008,160000,3,13800
47,2007,120000,3,14999
47,2005,218500,3,12900
47,2008,220000,1,12800
47,2006,253515,3,14500
47,2005,195000,3,6700
47,2006,253700,3,9200
47,2005,199000,3,13900
47,2010,240000,3,16500
47,2009,205000,3,11990
47,2005,179000,3,10800
47,2004,149000,3,8500
47,2008,220000,5,14900
47,2005,173000,1,8900
47,2006,177000,3,13500
47,2006,198000,1,9800
47,2005,229000,3,13900
47,2005,176000,3,11500
47,2009,209495,1,14900
47,2005,145000,1,5800
47,2006,188000,3,12300
47,2006,220764,3,10900
47,2000,195145,1,6900
47,2007,251000,3,12900
47,2004,277000,3,8999
47,2004,277000,3,8999
47,2008,192265,3,16900
47,2010,124323,3,22800
47,2008,225000,1,11900
47,2006,139000,3,12900
47,2006,196000,1,10900
47,2004,200000,1,7900
47,2009,138000,3,20700
47,2005,182010,1,12900
47,2005,237000,3,9800
47,2008,220000,1,12800
47,2004,194014,3,10900
47,2006,152000,1,14900
47,2007,190000,1,14700
47,2004,201000,5,11500
47,2005,138000,3,13500
47,2009,130000,3,19500
47,2008,157727,3,24000
47,2004,178000,3,11900
47,2005,180000,1,5300
47,2006,168321,3,13900
47,2008,199500,1,7999
47,2013,170000,3,26999
47,2010,153100,3,16490
47,2008,148000,3,13900
47,2009,248864,5,17900
47,2008,200000,1,13900
47,2007,171000,3,14900
47,2009,203000,3,14900
47,2004,303000,3,5300
47,2007,154000,1,11900
47,2006,190000,3,11700
47,2004,341000,1,4999
47,2005,250000,1,5800
47,2005,250000,1,5800
47,2006,191087,5,14500
47,2006,222504,1,12000
47,2007,189980,3,15799
47,2010,32000,3,29900
47,2005,242545,3,9900
47,2004,164000,3,12500
47,2008,154000,3,19900
47,2005,235400,3,12700
47,2005,250300,3,11500
47,2005,286000,3,10800
47,2008,124000,3,17900
47,2004,197000,3,10900
47,2006,434400,1,10900
47,2009,89420,3,19900
47,2004,203000,3,10990
47,2010,133000,3,20999
47,2004,223700,5,12500
47,2005,245000,1,7900
47,2004,220000,3,9900
47,2010,245000,1,12600
47,2008,118148,3,16900
47,2009,125500,3,12900
47,2009,222000,5,16605
47,2007,190000,3,14500
47,2009,170000,3,14200
47,2011,262000,3,18600
47,2005,221785,1,8900
47,2008,240000,3,13500
47,2006,134000,1,14000
47,2007,133000,3,16500
47,2005,222500,3,12500
47,2005,280000,3,12500
47,2006,190000,1,12800
47,2004,237561,3,11800
47,2007,149591,3,15600
47,2008,141000,3,16600
47,2008,151900,1,11700
47,2004,174550,3,9900
47,2004,198000,3,10900
47,2008,163560,3,12500
47,2004,242000,3,9000
47,2004,105000,3,11899
47,2005,230000,3,12900
47,2006,138000,1,13700
47,2003,175000,3,15900
47,2006,226000,3,13700
47,2007,225000,1,15900
47,2008,172000,3,18500
47,2009,189800,3,18500
47,2006,242000,3,15500
47,2009,190000,3,15999
47,2006,160617,3,14900
47,2007,88000,3,15999
47,2004,340317,1,8999
47,2005,214000,3,11400
47,2007,160000,3,9999
47,2009,188416,3,17900
47,2005,167000,3,15900
47,2005,220000,3,9999
47,2007,215000,5,13500
47,2005,197000,3,12900
47,2008,166600,1,14900
47,2007,117388,3,13900
47,2004,177000,3,12500
47,2005,287600,1,15000
47,2007,200770,3,10900
47,2006,238000,3,13900
47,2007,289000,1,7900
47,2011,249000,1,24900
47,2009,210000,3,19900
47,2005,202000,3,9900
47,2006,237000,3,9800
47,2006,360000,1,8500
47,2009,246000,1,12600
47,2005,215100,3,10990
47,2009,154000,3,15900
47,2006,284000,1,9900
47,2005,219100,5,12000
47,2005,305000,1,6900
47,2011,235000,1,22500
47,2004,260000,1,8900
47,2006,147000,3,17900
47,2005,185500,3,12500
47,2010,180000,3,19300
47,2009,132000,3,18400
47,2008,247000,1,14900
47,2010,301000,1,11999
47,2009,202039,1,15900
47,2008,248597,1,7400
47,2008,217000,3,13900
47,2004,208023,3,7800
47,2007,203000,5,10500
47,2007,251900,1,14900
47,2007,308800,1,10200
47,2010,125000,3,17500
47,2006,187000,3,9999
47,2008,146851,3,13800
47,2009,148325,3,17800
47,2006,242000,3,13900
47,2006,183000,3,12700
47,2010,153000,3,16500
47,2009,181200,3,16900
47,2006,215000,3,12000
47,2010,115079,3,16900
47,2011,132117,5,19000
47,2008,166000,3,16700
47,2005,213000,3,10900
47,2008,151654,3,14500
47,2005,220000,3,11400
47,2007,242752,5,13500
47,2008,262500,1,12500
47,2009,115983,3,17500
47,2006,230000,3,12700
47,2006,195000,3,12900
47,2008,135000,3,15900
47,2004,147000,3,10800
47,2009,121000,3,22900
47,2005,178321,3,13900
47,2011,291300,3,14500
47,2010,268000,1,12900
47,2004,198000,3,11900
47,2008,270430,1,7500
47,2008,188160,5,14500
47,2009,239042,1,15900
47,2007,184000,3,18400
47,2006,180000,1,8900
47,2005,267000,3,8990
47,2009,218575,3,12800
47,2006,223000,1,8300
47,2008,156000,1,13600
47,2008,149537,3,16999
47,2010,225000,1,16900
47,2006,215092,3,16450
47,2007,235563,1,12900
47,2010,224000,3,15500
47,2007,199200,3,14999
47,2009,153000,3,15900
47,2007,148500,3,15900
47,2008,211217,3,14900
47,2004,195145,1,6900
47,2007,207000,3,11700
47,2004,250000,3,9900
47,2009,156000,1,8800
47,2004,200000,3,10900
47,2004,128321,3,10900
47,2006,115272,1,16000
47,2004,143010,3,12000
47,2005,206000,1,9499
47,2005,196000,3,9900
47,2010,323000,3,9999
47,2008,158000,3,15900
47,2010,166000,3,19926
47,2008,205000,1,9900
47,2007,191000,3,16700
47,2005,169000,3,11700
47,2005,223000,1,7950
47,2007,171000,3,13900
47,2004,178000,3,11900
47,2006,102000,3,15500
47,2006,219000,3,9500
47,2006,258000,1,11900
47,2009,176000,3,17999
47,2009,102000,3,14999
47,2006,173000,3,12900
47,2005,178000,3,11900
47,2007,237000,1,12900
47,2004,145000,3,16900
47,2010,269000,1,13900
47,2008,229000,1,12900
47,2005,274000,1,9900
47,2005,165963,3,11000
47,2007,260000,1,14999
47,2008,280000,1,14900
47,2011,134550,3,19750
47,2009,113565,3,16600
47,2005,208000,5,12700
47,2009,169750,3,14900
47,2009,217500,3,13900
47,2008,123000,3,16000
47,2010,224000,3,18500
47,2006,209000,3,9900
47,2006,156000,3,15900
47,2004,270000,1,13900
47,2009,209000,1,14700
47,2005,190400,3,12900
47,2006,203800,3,11900
47,2005,270675,3,13600
47,2004,224400,3,9800
47,2004,191000,3,8900
47,2007,141700,3,18900
47,2007,126000,3,16800
47,2009,175000,3,12800
47,2004,180490,3,9450
47,2006,235000,1,7990
47,2007,250000,1,12700
47,2006,204000,3,11900
47,2006,156000,3,11900
47,2007,199888,3,10900
47,2007,269000,1,9900
47,2006,199000,3,10990
47,2009,150000,3,16900
47,2004,174000,3,11900
47,2005,249000,3,9300
47,2009,191000,3,13999
47,2006,173400,5,11900
47,2004,180000,3,10950
47,2008,169000,3,15400
47,2004,205000,3,10200
47,2006,169950,3,13800
47,2005,204000,3,8900
